	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
51-100	0	0	9	9	8	0	0	0	0	0	6	6	5	1	3	2	2	5	1	1	3	3	0	0	0	0	1	0	0	0	4	3
101-150	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
151-200	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	96.3	95.3	62.0	61.3	62.7	87.2	91.1	92.3	90.7	90.8	86.5	84.2	84.8	91.1	83.4	92.1	88.7	87.9	88.0	98.5	89.0	85.5	91.6	90.6	88.2	96.4	96.2	92.0	92.7	95.7	90.4	90.7
'1	2.7	3.2	23.2	21.3	19.1	6.6	4.8	3.0	5.3	5.0	6.7	6.3	6.2	5.3	8.7	3.9	5.7	6.7	5.5	0.9	5.6	5.1	3.2	6.4	5.8	0.8	1.5	5.4	5.0	2.5	4.5	3.1
'2	0.3	0.5	5.7	7.4	8.0	2.4	1.4	1.3	1.7	1.4	2.8	3.6	3.2	1.4	2.9	1.4	2.3	2.0	2.4	0.1	2.6	4.1	2.4	1.2	3.1	1.1	0.8	1.1	1.0	0.6	1.6	2.5
'3	0.3	0.2	2.3	2.7	2.9	1.0	1.0	1.1	0.7	0.9	1.1	1.5	1.6	0.5	1.0	0.6	1.0	0.9	1.2	0.1	0.7	1.7	0.8	0.6	0.8	0.3	0.1	0.3	0.5	0.3	0.9	1.0
'4	0.1	0.2	1.3	1.4	1.4	0.7	0.4	0.4	0.2	0.4	0.4	1.0	1.0	0.4	0.7	0.5	0.6	0.4	0.7	0.1	0.6	0.6	0.4	0.2	0.4	0.2	0.2	0.3	0.1	0.2	0.5	0.4
'5	0.0	0.1	1.0	1.1	1.0	0.3	0.4	0.3	0.2	0.3	0.3	0.6	0.6	0.2	0.3	0.1	0.4	0.3	0.4	0.0	0.2	0.5	0.3	0.2	0.3	0.2	0.3	0.2	0.2	0.1	0.5	0.4
'6	0.1	0.1	0.6	0.6	0.7	0.3	0.2	0.3	0.1	0.3	0.6	0.5	0.2	0.2	0.3	0.2	0.2	0.5	0.4	0.0	0.1	0.5	0.2	0.1	0.2	0.3	0.3	0.3	0.1	0.1	0.3	0.2
'7	0.1	0.1	0.6	0.6	0.6	0.2	0.0	0.2	0.1	0.0	0.3	0.2	0.5	0.0	0.3	0.2	0.1	0.3	0.2	0.0	0.1	0.3	0.2	0.0	0.3	0.0	0.1	0.0	0.0	0.1	0.1	0.1
'8	0.0	0.0	0.5	0.4	0.3	0.2	0.0	0.0	0.1	0.1	0.3	0.2	0.3	0.2	0.4	0.1	0.1	0.1	0.1	0.0	0.1	0.2	0.2	0.3	0.1	0.2	0.0	0.0	0.1	0.0	0.3	0.2
'9	0.0	0.0	0.2	0.2	0.5	0.2	0.1	0.1	0.0	0.0	0.1	0.4	0.1	0.0	0.2	0.2	0.2	0.0	0.0	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.2
'10	0.0	0.0	0.0	0.2	0.3	0.0	0.2	0.3	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1
11-15	0.0	0.0	0.8	1.0	0.7	0.4	0.1	0.3	0.3	0.3	0.3	0.5	0.5	0.1	0.7	0.3	0.3	0.3	0.3	0.0	0.3	0.3	0.2	0.0	0.2	0.3	0.0	0.1	0.1	0.0	0.2	0.2
16-20	0.0	0.1	0.3	0.3	0.4	0.3	0.1	0.2	0.2	0.2	0.2	0.3	0.1	0.0	0.2	0.3	0.1	0.1	0.2	0.0	0.1	0.2	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2
