Orthogroup	Duplications (all)	Duplications (50% support)
OG0000361	10	10
OG0000362	12	12
OG0000363	1	1
OG0000364	5	5
OG0000365	6	5
OG0000366	5	5
OG0000367	6	6
OG0000368	4	4
OG0000369	8	8
OG0000370	2	2
OG0000371	2	2
OG0000372	11	11
OG0000373	10	10
OG0000374	10	10
OG0000375	4	3
OG0000376	9	9
OG0000377	11	11
OG0000378	5	4
OG0000379	10	10
OG0000380	11	11
OG0000381	3	3
OG0000382	3	2
OG0000383	8	8
OG0000384	4	3
OG0000385	8	8
OG0000386	6	6
OG0000387	7	7
OG0000388	6	6
OG0000389	2	1
OG0000390	5	5
OG0000391	5	5
OG0000392	1	1
OG0000393	4	4
OG0000394	2	2
OG0000395	3	2
OG0000396	6	4
OG0000397	6	5
OG0000398	3	3
OG0000399	3	3
OG0000400	4	3
OG0000401	7	7
OG0000402	10	10
OG0000403	5	5
OG0000404	9	9
OG0000405	9	9
OG0000406	10	10
OG0000407	10	10
OG0000408	6	6
OG0000409	2	1
OG0000410	9	9
OG0000411	1	1
OG0000412	7	7
OG0000413	1	0
OG0000414	6	6
OG0000415	4	4
OG0000416	8	8
OG0000417	7	7
OG0000418	2	1
OG0000419	3	3
OG0000420	3	2
OG0000421	8	8
OG0000422	2	2
OG0000423	5	5
OG0000424	6	6
OG0000425	2	2
OG0000426	2	2
OG0000427	5	5
OG0000428	4	3
OG0000429	8	8
OG0000430	9	9
OG0000431	2	2
OG0000432	8	8
OG0000433	2	2
OG0000434	3	3
OG0000435	6	6
OG0000436	3	2
OG0000437	4	4
OG0000438	6	6
OG0000439	2	2
OG0000440	4	4
OG0000441	8	8
OG0000442	9	9
OG0000443	8	8
OG0000444	9	9
OG0000445	7	7
OG0000446	8	8
OG0000447	1	1
OG0000448	1	1
OG0000449	2	2
OG0000450	1	1
OG0000451	6	6
OG0000452	6	6
OG0000453	7	7
OG0000454	2	2
OG0000455	3	3
OG0000456	4	4
OG0000457	6	6
OG0000458	6	6
OG0000459	5	5
OG0000460	5	5
OG0000461	5	5
OG0000462	5	5
OG0000463	0	0
OG0000464	2	2
OG0000465	5	5
OG0000466	3	3
OG0000467	6	6
OG0000468	4	4
OG0000469	8	8
OG0000470	8	8
OG0000471	2	2
OG0000472	3	3
OG0000473	1	1
OG0000474	5	5
OG0000475	6	6
OG0000476	3	3
OG0000477	7	7
OG0000478	6	6
OG0000479	3	2
OG0000480	6	6
OG0000481	6	6
OG0000482	3	3
OG0000483	8	8
OG0000484	7	7
OG0000485	6	6
OG0000486	5	5
OG0000487	6	6
OG0000488	4	4
OG0000489	4	4
OG0000490	4	4
OG0000491	8	8
OG0000492	5	5
OG0000493	7	7
OG0000494	8	8
OG0000495	8	8
OG0000496	8	8
OG0000497	8	8
OG0000498	4	4
OG0000499	3	3
OG0000500	0	0
OG0000501	5	5
OG0000502	3	3
OG0000503	4	4
OG0000504	5	5
OG0000505	4	4
OG0000506	7	7
OG0000507	3	3
OG0000508	2	2
OG0000509	4	4
OG0000510	3	3
OG0000511	6	6
OG0000512	2	2
OG0000513	5	5
OG0000514	5	5
OG0000515	4	4
OG0000516	0	0
OG0000517	5	5
OG0000518	5	5
OG0000519	1	1
OG0000520	2	2
OG0000521	1	1
OG0000522	2	2
OG0000523	1	1
OG0000524	2	2
OG0000525	4	4
OG0000526	1	1
OG0000527	7	7
OG0000528	7	7
OG0000529	3	3
OG0000530	4	4
OG0000531	3	3
OG0000532	7	7
OG0000533	2	1
OG0000534	1	1
OG0000535	3	3
OG0000536	6	6
OG0000537	6	6
OG0000538	5	5
OG0000539	7	7
OG0000540	7	7
OG0000541	3	3
OG0000542	1	1
OG0000543	7	7
OG0000544	7	7
OG0000545	6	6
OG0000546	4	4
OG0000547	5	5
OG0000548	2	2
OG0000549	7	7
OG0000550	5	4
OG0000551	5	5
OG0000552	7	7
OG0000553	1	1
OG0000554	1	1
OG0000555	4	4
OG0000556	1	1
OG0000557	4	4
OG0000558	3	3
OG0000559	4	4
OG0000560	2	2
OG0000561	4	4
OG0000562	2	2
OG0000563	4	4
OG0000564	4	4
OG0000565	3	3
OG0000566	2	1
OG0000567	4	4
OG0000568	3	3
OG0000569	5	5
OG0000570	4	4
OG0000571	4	4
OG0000572	4	4
OG0000573	2	2
OG0000574	4	4
OG0000575	2	2
OG0000576	4	4
OG0000577	2	2
OG0000578	1	1
OG0000579	4	4
OG0000580	4	4
OG0000581	1	1
OG0000582	2	2
OG0000583	4	4
OG0000584	4	4
OG0000585	1	1
OG0000586	6	6
OG0000587	3	3
OG0000588	4	4
OG0000589	3	3
OG0000590	2	2
OG0000591	3	3
OG0000592	3	3
OG0000593	4	4
OG0000594	2	2
OG0000595	1	1
OG0000596	2	2
OG0000597	5	5
OG0000598	2	2
OG0000599	2	2
OG0000600	0	0
OG0000601	0	0
OG0000602	2	2
OG0000603	6	6
OG0000604	5	5
OG0000605	6	6
OG0000606	2	2
OG0000607	4	4
OG0000608	6	6
OG0000609	4	4
OG0000610	4	4
OG0000611	6	6
OG0000612	6	6
OG0000613	5	5
OG0000614	6	6
OG0000615	6	6
OG0000616	6	6
OG0000617	6	6
OG0000618	6	6
OG0000619	6	6
OG0000620	5	5
OG0000621	6	6
OG0000622	2	2
OG0000623	0	0
OG0000624	1	1
OG0000625	1	1
OG0000626	3	3
OG0000627	5	5
OG0000628	1	1
OG0000629	3	3
OG0000630	2	2
OG0000631	0	0
OG0000632	1	1
OG0000633	2	2
OG0000634	0	0
OG0000635	3	3
OG0000636	2	2
OG0000637	4	4
OG0000638	3	3
OG0000639	2	2
OG0000640	4	4
OG0000641	0	0
OG0000642	5	5
OG0000643	3	3
OG0000644	3	3
OG0000645	2	2
OG0000646	1	1
OG0000647	4	4
OG0000648	3	3
OG0000649	4	4
OG0000650	2	2
OG0000651	3	3
OG0000652	3	3
OG0000653	0	0
OG0000654	3	3
OG0000655	4	4
OG0000656	2	2
OG0000657	2	2
OG0000658	2	2
OG0000659	0	0
OG0000660	3	3
OG0000661	2	2
OG0000662	2	0
OG0000663	3	3
OG0000664	3	3
OG0000665	2	2
OG0000666	1	1
OG0000667	3	3
OG0000668	4	4
OG0000669	3	3
OG0000670	1	1
OG0000671	3	3
OG0000672	0	0
OG0000673	5	5
OG0000674	0	0
OG0000675	4	4
OG0000676	2	2
OG0000677	1	1
OG0000678	4	4
OG0000679	5	5
OG0000680	3	2
OG0000681	3	3
OG0000682	2	2
OG0000683	1	1
OG0000684	2	2
OG0000685	1	1
OG0000686	1	1
OG0000687	1	1
OG0000688	1	1
OG0000689	1	1
OG0000690	2	2
OG0000691	1	1
OG0000692	2	2
OG0000693	2	2
OG0000694	3	3
OG0000695	0	0
OG0000696	2	2
OG0000697	2	2
OG0000698	0	0
OG0000699	2	2
OG0000700	2	2
OG0000701	1	1
OG0000702	2	2
OG0000703	1	1
OG0000704	5	5
OG0000705	5	5
OG0000706	5	5
OG0000707	3	3
OG0000708	2	2
OG0000709	3	3
OG0000710	3	3
OG0000711	4	4
OG0000712	4	4
OG0000713	1	1
OG0000714	4	4
OG0000715	0	0
OG0000716	4	4
OG0000717	4	4
OG0000718	3	3
OG0000719	2	2
OG0000720	2	2
OG0000721	2	2
OG0000722	0	0
OG0000723	1	1
OG0000724	4	4
OG0000725	4	4
OG0000726	5	5
OG0000727	5	5
OG0000728	5	5
OG0000729	5	5
OG0000730	4	4
OG0000731	5	5
OG0000732	4	4
OG0000733	5	5
OG0000734	4	4
OG0000735	5	5
OG0000736	3	3
OG0000737	4	4
OG0000738	5	5
OG0000739	5	5
OG0000740	3	3
OG0000741	3	3
OG0000742	3	3
OG0000743	3	3
OG0000744	3	3
OG0000745	4	4
OG0000746	2	2
OG0000747	5	5
OG0000748	5	5
OG0000749	4	4
OG0000750	5	5
OG0000751	5	5
OG0000752	5	5
OG0000753	3	3
OG0000754	5	5
OG0000755	5	5
OG0000756	5	5
OG0000757	4	4
OG0000758	5	5
OG0000759	5	5
OG0000760	0	0
OG0000761	2	2
OG0000762	1	1
OG0000763	2	2
OG0000764	1	1
OG0000765	2	2
OG0000766	0	0
OG0000767	1	1
OG0000768	2	2
OG0000769	1	1
OG0000770	2	2
OG0000771	2	2
OG0000772	0	0
OG0000773	2	2
OG0000774	2	2
OG0000775	2	2
OG0000776	2	2
OG0000777	2	2
OG0000778	0	0
OG0000779	3	3
OG0000780	4	4
OG0000781	2	2
OG0000782	2	2
OG0000783	1	1
OG0000784	1	1
OG0000785	3	3
OG0000786	2	2
OG0000787	2	2
OG0000788	3	3
OG0000789	3	3
OG0000790	2	2
OG0000791	1	1
OG0000792	1	1
OG0000793	2	2
OG0000794	1	1
OG0000795	3	3
OG0000796	2	2
OG0000797	2	2
OG0000798	2	2
OG0000799	4	4
OG0000800	1	1
OG0000801	3	3
OG0000802	2	2
OG0000803	2	2
OG0000804	2	2
OG0000805	1	1
OG0000806	2	2
OG0000807	1	1
OG0000808	1	1
OG0000809	0	0
OG0000810	2	2
OG0000811	2	2
OG0000812	1	1
OG0000813	2	2
OG0000814	1	1
OG0000815	2	2
OG0000816	2	2
OG0000817	1	1
OG0000818	1	1
OG0000819	2	2
OG0000820	1	1
OG0000821	2	2
OG0000822	1	1
OG0000823	2	2
OG0000824	2	2
OG0000825	1	1
OG0000826	0	0
OG0000827	2	2
OG0000828	1	1
OG0000829	1	1
OG0000830	3	3
OG0000831	2	2
OG0000832	0	0
OG0000833	1	1
OG0000834	2	2
OG0000835	3	3
OG0000836	4	4
OG0000837	4	4
OG0000838	0	0
OG0000839	2	2
OG0000840	4	4
OG0000841	3	3
OG0000842	1	1
OG0000843	3	3
OG0000844	3	3
OG0000845	2	2
OG0000846	3	3
OG0000847	1	1
OG0000848	3	3
OG0000849	2	2
OG0000850	4	4
OG0000851	0	0
OG0000852	0	0
OG0000853	0	0
OG0000854	0	0
OG0000855	0	0
OG0000856	0	0
OG0000857	0	0
OG0000858	0	0
OG0000859	1	1
OG0000860	0	0
OG0000861	0	0
OG0000862	0	0
OG0000863	3	3
OG0000864	1	1
OG0000865	4	4
OG0000866	0	0
OG0000867	2	2
OG0000868	1	1
OG0000869	1	1
OG0000870	1	1
OG0000871	2	2
OG0000872	2	2
OG0000873	3	3
OG0000874	3	3
OG0000875	2	2
OG0000876	1	1
OG0000877	1	1
OG0000878	2	2
OG0000879	2	2
OG0000880	3	3
OG0000881	2	2
OG0000882	1	1
OG0000883	3	3
OG0000884	1	1
OG0000885	2	2
OG0000886	3	3
OG0000887	2	2
OG0000888	4	4
OG0000889	1	0
OG0000890	2	2
OG0000891	3	3
OG0000892	1	1
OG0000893	4	4
OG0000894	3	3
OG0000895	1	1
OG0000896	4	4
OG0000897	4	4
OG0000898	2	2
OG0000899	1	1
OG0000900	4	4
OG0000901	4	4
OG0000902	3	3
OG0000903	4	4
OG0000904	1	1
OG0000905	2	2
OG0000906	1	1
OG0000907	1	1
OG0000908	1	1
OG0000909	1	1
OG0000910	4	4
OG0000911	3	3
OG0000912	3	3
OG0000913	2	2
OG0000914	3	3
OG0000915	4	4
OG0000916	4	4
OG0000917	2	2
OG0000918	4	4
OG0000919	2	2
OG0000920	4	4
OG0000921	3	3
OG0000922	0	0
OG0000923	1	1
OG0000924	4	4
OG0000925	4	4
OG0000926	3	3
OG0000927	1	1
OG0000928	2	2
OG0000929	2	2
OG0000930	2	2
OG0000931	4	4
OG0000932	3	3
OG0000933	2	2
OG0000934	4	4
OG0000935	3	3
OG0000936	4	4
OG0000937	4	4
OG0000938	2	2
OG0000939	4	4
OG0000940	3	3
OG0000941	4	4
OG0000942	4	4
OG0000943	4	4
OG0000944	3	3
OG0000945	2	2
OG0000946	2	2
OG0000947	4	4
OG0000948	4	4
OG0000949	4	4
OG0000950	3	3
OG0000951	4	4
OG0000952	4	4
OG0000953	3	3
OG0000954	4	4
OG0000955	4	4
OG0000956	1	1
OG0000957	3	3
OG0000958	1	1
OG0000959	1	1
OG0000960	1	1
OG0000961	1	1
OG0000962	1	1
OG0000963	2	2
OG0000964	1	1
OG0000965	1	1
OG0000966	1	1
OG0000967	1	1
OG0000968	2	2
OG0000969	1	1
OG0000970	1	1
OG0000971	0	0
OG0000972	1	1
OG0000973	1	1
OG0000974	1	1
OG0000975	1	1
OG0000976	1	1
OG0000977	1	1
OG0000978	1	1
OG0000979	1	1
OG0000980	1	1
OG0000981	2	2
OG0000982	1	1
OG0000983	0	0
OG0000984	1	1
OG0000985	1	1
OG0000986	2	2
OG0000987	3	3
OG0000988	3	3
OG0000989	1	1
OG0000990	0	0
OG0000991	1	1
OG0000992	1	1
OG0000993	2	2
OG0000994	3	3
OG0000995	1	1
OG0000996	1	1
OG0000997	2	2
OG0000998	1	1
OG0000999	0	0
OG0001000	1	1
OG0001001	2	2
OG0001002	1	1
OG0001003	1	1
OG0001004	1	1
OG0001005	1	1
OG0001006	2	2
OG0001007	0	0
OG0001008	0	0
OG0001009	1	1
OG0001010	1	1
OG0001011	1	1
OG0001012	1	1
OG0001013	1	1
OG0001014	1	1
OG0001015	1	1
OG0001016	1	1
OG0001017	2	2
OG0001018	2	2
OG0001019	0	0
OG0001020	1	1
OG0001021	1	1
OG0001022	1	1
OG0001023	3	3
OG0001024	0	0
OG0001025	1	1
OG0001026	1	1
OG0001027	2	2
OG0001028	1	1
OG0001029	1	1
OG0001030	1	1
OG0001031	1	1
OG0001032	1	1
OG0001033	0	0
OG0001034	1	1
OG0001035	1	1
OG0001036	2	2
OG0001037	1	1
OG0001038	0	0
OG0001039	1	1
OG0001040	0	0
OG0001041	1	1
OG0001042	0	0
OG0001043	0	0
OG0001044	1	1
OG0001045	1	1
OG0001046	1	1
OG0001047	1	1
OG0001048	3	3
OG0001049	1	1
OG0001050	1	1
OG0001051	1	1
OG0001052	1	1
OG0001053	1	1
OG0001054	1	1
OG0001055	2	2
OG0001056	1	1
OG0001057	2	2
OG0001058	1	1
OG0001059	1	1
OG0001060	1	1
OG0001061	1	1
OG0001062	1	1
OG0001063	0	0
OG0001064	1	1
OG0001065	1	1
OG0001066	1	1
OG0001067	0	0
OG0001068	1	1
OG0001069	1	1
OG0001070	0	0
OG0001071	1	1
OG0001072	0	0
OG0001073	0	0
OG0001074	0	0
OG0001075	2	2
OG0001076	1	1
OG0001077	1	1
OG0001078	1	1
OG0001079	1	1
OG0001080	1	1
OG0001081	2	2
OG0001082	2	2
OG0001083	2	2
OG0001084	3	3
OG0001085	2	2
OG0001086	2	2
OG0001087	1	1
OG0001088	1	1
OG0001089	2	2
OG0001090	2	2
OG0001091	1	1
OG0001092	1	1
OG0001093	2	2
OG0001094	0	0
OG0001095	1	1
OG0001096	3	3
OG0001097	1	1
OG0001098	3	3
OG0001099	3	3
OG0001100	1	1
OG0001101	3	3
OG0001102	0	0
OG0001103	0	0
OG0001104	0	0
OG0001105	0	0
OG0001106	0	0
OG0001107	0	0
OG0001108	1	1
OG0001109	3	3
OG0001110	0	0
OG0001111	0	0
OG0001112	0	0
OG0001113	0	0
OG0001114	1	1
OG0001115	2	2
OG0001116	0	0
OG0001117	2	2
OG0001118	2	2
OG0001119	0	0
OG0001120	2	2
OG0001121	0	0
OG0001122	0	0
OG0001123	1	1
OG0001124	0	0
OG0001125	1	1
OG0001126	1	1
OG0001127	0	0
OG0001128	0	0
OG0001129	1	1
OG0001130	0	0
OG0001131	0	0
OG0001132	0	0
OG0001133	1	1
OG0001134	1	1
OG0001135	1	1
OG0001136	0	0
OG0001137	1	1
OG0001138	2	2
OG0001139	2	2
OG0001140	2	2
OG0001141	3	3
OG0001142	0	0
OG0001143	1	1
OG0001144	1	1
OG0001145	2	2
OG0001146	2	2
OG0001147	2	2
OG0001148	0	0
OG0001149	3	3
OG0001150	3	3
OG0001151	1	1
OG0001152	3	3
OG0001153	2	2
OG0001154	1	1
OG0001155	3	3
OG0001156	3	3
OG0001157	2	2
OG0001158	2	2
OG0001159	1	1
OG0001160	3	3
OG0001161	1	1
OG0001162	3	3
OG0001163	1	1
OG0001164	3	3
OG0001165	1	1
OG0001166	2	2
OG0001167	1	1
OG0001168	2	2
OG0001169	0	0
OG0001170	1	1
OG0001171	1	1
OG0001172	2	2
OG0001173	1	1
OG0001174	3	3
OG0001175	3	3
OG0001176	3	3
OG0001177	1	1
OG0001178	2	2
OG0001179	2	2
OG0001180	1	1
OG0001181	2	2
OG0001182	3	3
OG0001183	2	2
OG0001184	0	0
OG0001185	0	0
OG0001186	2	2
OG0001187	3	3
OG0001188	3	3
OG0001189	0	0
OG0001190	1	1
OG0001191	1	1
OG0001192	1	1
OG0001193	2	2
OG0001194	3	3
OG0001195	1	1
OG0001196	0	0
OG0001197	1	1
OG0001198	2	2
OG0001199	3	3
OG0001200	2	2
OG0001201	3	3
OG0001202	0	0
OG0001203	2	2
OG0001204	1	1
OG0001205	3	3
OG0001206	3	3
OG0001207	2	2
OG0001208	2	2
OG0001209	3	3
OG0001210	2	2
OG0001211	2	2
OG0001212	3	3
OG0001213	3	3
OG0001214	3	3
OG0001215	3	3
OG0001216	0	0
OG0001217	3	3
OG0001218	3	3
OG0001219	3	3
OG0001220	3	3
OG0001221	3	3
OG0001222	3	3
OG0001223	2	2
OG0001224	1	1
OG0001225	1	1
OG0001226	1	1
OG0001227	1	1
OG0001228	1	1
OG0001229	2	2
OG0001230	1	1
OG0001231	1	1
OG0001232	2	2
OG0001233	1	1
OG0001234	2	2
OG0001235	1	1
OG0001236	1	1
OG0001237	1	1
OG0001238	1	1
OG0001239	3	3
OG0001240	2	2
OG0001241	2	2
OG0001242	3	3
OG0001243	3	3
OG0001244	3	3
OG0001245	1	1
OG0001246	3	3
OG0001247	3	3
OG0001248	3	3
OG0001249	3	3
OG0001250	2	2
OG0001251	3	3
OG0001252	3	3
OG0001253	3	3
